goal,gender,age,height_cm,weight_kg,bmi,diet_type,activity_level,equipment,frequency,region,persona
improve_stamina,Male,18,172.6,69.9,23.5,standard,moderate,dumbbells,4,indian,0
build_muscle,Male,18,164.2,66.2,24.6,vegetarian,moderate,dumbbells,4,western,1
lose_weight,Male,44,170.2,93.0,32.1,vegetarian,sedentary,no_equipment,3,indian,6
lose_weight,Female,53,158.0,69.5,27.8,vegetarian,moderate,full_gym,6,indian,6
build_muscle,Male,24,174.0,69.3,22.9,jain,moderate,full_gym,4,western,2
lose_weight,Male,53,166.4,79.1,28.6,eggetarian,sedentary,dumbbells,4,western,6
stay_active,Female,29,163.2,57.5,21.6,eggetarian,moderate,no_equipment,4,western,8
stay_active,Male,27,173.3,63.8,21.2,standard,moderate,full_gym,3,western,0
lose_weight,Other,62,164.9,62.3,22.9,vegan,active,full_gym,4,indian,0
lose_weight,Female,33,158.0,76.5,30.6,standard,light,no_equipment,3,indian,6
build_muscle,Male,24,167.4,88.2,31.5,vegan,moderate,full_gym,3,western,2
lose_weight,Other,54,163.5,53.6,20.1,vegetarian,active,dumbbells,4,western,1
build_muscle,Male,53,163.3,80.6,30.2,eggetarian,active,dumbbells,3,indian,1
improve_stamina,Female,21,153.4,50.5,21.5,vegan,light,no_equipment,4,indian,0
build_muscle,Female,52,171.8,72.7,24.6,eggetarian,very_active,dumbbells,4,indian,1
lose_weight,Male,39,166.3,72.0,26.0,vegetarian,active,dumbbells,5,indian,1
build_muscle,Female,32,158.1,59.6,23.8,standard,light,full_gym,3,indian,2
improve_stamina,Female,54,171.8,52.2,17.7,standard,light,dumbbells,5,indian,7
build_muscle,Male,41,159.4,98.2,38.6,standard,moderate,dumbbells,6,indian,1
lose_weight,Female,40,158.3,65.8,26.3,standard,light,dumbbells,4,indian,8
improve_stamina,Male,52,173.2,91.1,30.4,standard,sedentary,dumbbells,4,indian,7
lose_weight,Female,62,170.0,65.2,22.6,standard,active,dumbbells,4,indian,8
lose_weight,Female,24,153.2,62.8,26.8,standard,light,full_gym,3,indian,0
lose_weight,Female,33,157.6,40.0,16.1,standard,moderate,full_gym,3,western,0
lose_weight,Male,25,173.4,83.7,27.8,eggetarian,active,full_gym,6,indian,6
lose_weight,Female,42,163.0,61.9,23.3,vegan,light,dumbbells,3,global,8
lose_weight,Male,34,177.7,70.5,22.3,vegan,active,dumbbells,4,western,1
build_muscle,Female,45,163.6,55.1,20.6,vegetarian,active,no_equipment,5,indian,0
lose_weight,Female,24,169.4,54.9,19.1,standard,very_active,no_equipment,6,indian,8
build_muscle,Male,45,181.4,97.3,29.6,eggetarian,light,dumbbells,3,indian,1
lose_weight,Male,29,170.3,71.6,24.7,vegetarian,moderate,full_gym,5,indian,0
lose_weight,Female,20,174.7,61.7,20.2,vegetarian,active,no_equipment,3,indian,8
lose_weight,Female,30,171.0,48.2,16.5,vegetarian,light,no_equipment,3,global,8
build_muscle,Female,49,167.6,40.0,14.2,eggetarian,active,full_gym,3,indian,0
build_muscle,Male,59,167.0,59.1,21.2,standard,sedentary,full_gym,4,global,2
improve_stamina,Female,27,155.2,59.0,24.5,vegetarian,light,dumbbells,4,indian,0
build_muscle,Male,49,169.9,84.2,29.2,eggetarian,sedentary,full_gym,3,western,2
stay_active,Female,35,164.6,40.0,14.8,standard,active,dumbbells,3,western,8
build_muscle,Male,34,172.5,64.2,21.6,vegetarian,moderate,dumbbells,3,indian,1
build_muscle,Other,53,168.4,74.0,26.1,jain,light,dumbbells,6,western,1
lose_weight,Male,22,179.1,62.1,19.4,standard,very_active,no_equipment,3,indian,0
build_muscle,Male,31,155.7,56.5,23.3,standard,sedentary,full_gym,3,indian,2
lose_weight,Male,33,186.1,58.0,16.7,vegetarian,moderate,full_gym,4,indian,0
lose_weight,Male,45,172.5,58.8,19.8,standard,moderate,no_equipment,5,indian,0
improve_stamina,Male,31,169.4,72.0,25.1,eggetarian,light,no_equipment,3,western,0
build_muscle,Female,53,158.8,75.6,30.0,vegetarian,moderate,dumbbells,4,indian,1
build_muscle,Female,38,167.2,72.8,26.0,vegetarian,moderate,no_equipment,3,indian,0
lose_weight,Female,62,152.3,40.1,17.3,standard,active,no_equipment,4,western,8
improve_stamina,Male,55,160.1,65.6,25.6,eggetarian,light,no_equipment,3,indian,7
build_muscle,Other,36,175.7,61.7,20.0,standard,very_active,full_gym,5,indian,4
lose_weight,Female,24,163.0,58.5,22.0,jain,moderate,no_equipment,5,indian,8
lose_weight,Female,20,160.3,60.4,23.5,standard,very_active,full_gym,5,indian,0
improve_stamina,Male,21,161.4,77.2,29.6,jain,moderate,no_equipment,5,indian,0
lose_weight,Male,25,185.5,76.0,22.1,standard,moderate,full_gym,3,indian,0
lose_weight,Female,61,157.2,51.5,20.8,standard,very_active,full_gym,5,indian,0
build_muscle,Female,51,158.3,55.7,22.2,vegetarian,sedentary,dumbbells,6,western,1
lose_weight,Female,25,159.6,53.7,21.1,standard,light,dumbbells,4,western,8
lose_weight,Male,33,173.9,67.4,22.3,eggetarian,active,dumbbells,3,indian,1
stay_active,Female,24,170.1,61.1,21.1,jain,active,full_gym,4,indian,0
lose_weight,Female,42,151.6,48.3,21.0,standard,active,no_equipment,5,western,8
improve_stamina,Male,26,184.5,81.1,23.8,eggetarian,very_active,dumbbells,6,western,0
stay_active,Female,16,160.8,63.8,24.7,standard,light,no_equipment,3,indian,8
build_muscle,Female,16,154.5,52.1,21.8,standard,light,dumbbells,5,indian,1
build_muscle,Male,26,173.4,76.8,25.5,standard,moderate,no_equipment,3,indian,0
improve_stamina,Male,22,187.0,52.9,15.1,eggetarian,moderate,full_gym,3,indian,0
build_muscle,Male,23,165.6,69.1,25.2,vegetarian,moderate,no_equipment,3,indian,0
lose_weight,Other,20,174.2,60.2,19.8,eggetarian,moderate,dumbbells,4,indian,1
stay_active,Male,55,181.3,88.9,27.0,standard,moderate,dumbbells,5,indian,7
build_muscle,Female,55,156.3,56.3,23.0,standard,moderate,full_gym,4,indian,2
build_muscle,Female,20,163.0,56.1,21.1,standard,light,full_gym,5,western,2
build_muscle,Male,59,188.6,78.9,22.2,standard,very_active,no_equipment,3,western,0
improve_stamina,Female,52,145.0,61.3,29.2,standard,active,no_equipment,5,indian,7
stay_active,Female,56,172.7,56.0,18.8,vegan,very_active,dumbbells,3,indian,7
lose_weight,Male,22,163.5,75.4,28.2,standard,active,dumbbells,4,global,6
build_muscle,Male,63,164.6,78.1,28.8,vegan,moderate,full_gym,3,indian,2
lose_weight,Male,25,175.7,70.2,22.7,vegetarian,moderate,full_gym,6,western,0
build_muscle,Other,48,166.4,56.0,20.2,standard,light,dumbbells,6,indian,1
lose_weight,Female,43,161.9,75.6,28.8,vegetarian,active,full_gym,5,indian,6
improve_stamina,Female,29,154.9,47.2,19.7,standard,sedentary,no_equipment,3,indian,0
improve_stamina,Male,37,170.0,56.1,19.4,vegetarian,very_active,dumbbells,4,western,0
stay_active,Male,20,172.5,102.4,34.4,eggetarian,light,dumbbells,4,global,5
lose_weight,Female,58,166.8,49.8,17.9,standard,very_active,no_equipment,6,indian,8
build_muscle,Female,27,152.7,51.2,22.0,standard,moderate,no_equipment,3,indian,0
build_muscle,Male,50,171.6,78.3,26.6,vegan,light,dumbbells,4,indian,1
lose_weight,Male,23,168.8,74.7,26.2,standard,sedentary,no_equipment,6,indian,0
lose_weight,Female,30,167.2,77.0,27.5,eggetarian,moderate,full_gym,4,global,6
stay_active,Female,62,145.0,75.7,36.0,eggetarian,very_active,dumbbells,5,indian,7
lose_weight,Female,24,164.9,55.8,20.5,vegetarian,moderate,no_equipment,4,indian,8
stay_active,Male,49,172.5,53.2,17.9,standard,sedentary,dumbbells,6,indian,7
build_muscle,Male,62,182.7,85.6,25.6,eggetarian,moderate,full_gym,5,western,2
build_muscle,Male,28,168.4,85.7,30.2,standard,active,no_equipment,5,indian,0
build_muscle,Male,35,166.3,55.5,20.1,standard,very_active,no_equipment,5,indian,0
build_muscle,Female,29,169.3,67.9,23.7,standard,moderate,no_equipment,3,indian,0
lose_weight,Male,33,165.7,87.6,31.9,standard,moderate,dumbbells,4,western,6
build_muscle,Female,33,176.9,60.1,19.2,standard,sedentary,no_equipment,4,global,0
improve_stamina,Male,23,179.3,79.1,24.6,vegetarian,active,no_equipment,3,indian,0
lose_weight,Female,19,145.0,53.1,25.3,eggetarian,light,dumbbells,5,indian,8
lose_weight,Female,50,166.8,40.0,14.4,standard,sedentary,dumbbells,5,indian,8
lose_weight,Female,32,164.4,57.5,21.3,vegetarian,moderate,no_equipment,4,western,8
stay_active,Male,19,177.6,63.7,20.2,vegetarian,moderate,full_gym,5,western,0
improve_stamina,Female,40,168.7,56.6,19.9,standard,sedentary,full_gym,3,global,7
stay_active,Male,21,173.4,48.7,16.2,eggetarian,moderate,dumbbells,4,indian,0
lose_weight,Female,16,163.1,51.5,19.4,eggetarian,very_active,full_gym,6,indian,0
improve_stamina,Female,24,162.1,59.4,22.6,vegetarian,active,no_equipment,3,western,0
stay_active,Male,64,184.4,70.9,20.9,eggetarian,light,full_gym,3,indian,7
stay_active,Male,51,184.3,70.5,20.8,standard,very_active,no_equipment,5,indian,7
lose_weight,Female,31,157.8,46.3,18.6,standard,light,dumbbells,5,indian,8
build_muscle,Female,39,168.7,71.6,25.2,vegetarian,sedentary,full_gym,5,indian,2
stay_active,Female,16,166.0,66.5,24.1,standard,moderate,full_gym,3,indian,0
lose_weight,Male,24,191.1,67.3,18.4,standard,light,no_equipment,3,indian,0
lose_weight,Female,32,166.1,68.2,24.7,standard,active,no_equipment,3,indian,8
lose_weight,Female,37,148.6,44.5,20.2,standard,sedentary,no_equipment,3,indian,8
build_muscle,Male,61,175.8,72.5,23.5,vegetarian,light,no_equipment,3,global,0
lose_weight,Other,18,165.8,51.4,18.7,standard,sedentary,dumbbells,3,indian,1
lose_weight,Male,31,181.3,77.7,23.6,vegetarian,very_active,full_gym,6,western,0
improve_stamina,Female,43,162.0,75.6,28.8,jain,active,full_gym,4,indian,7
stay_active,Female,37,155.4,53.0,21.9,eggetarian,active,dumbbells,4,indian,8
build_muscle,Male,51,175.8,61.9,20.0,vegetarian,very_active,no_equipment,5,indian,0
lose_weight,Male,32,170.2,72.4,25.0,vegetarian,active,dumbbells,4,western,1
stay_active,Female,25,171.9,73.1,24.7,vegetarian,very_active,no_equipment,6,indian,8
stay_active,Female,20,170.3,51.5,17.8,standard,moderate,no_equipment,6,global,8
stay_active,Male,53,172.2,81.1,27.3,vegetarian,moderate,dumbbells,4,indian,7
improve_stamina,Male,51,165.1,48.5,17.8,vegetarian,moderate,full_gym,5,indian,7
lose_weight,Male,62,162.6,52.1,19.7,standard,active,full_gym,6,western,0
build_muscle,Male,17,178.8,68.1,21.3,standard,active,full_gym,3,global,3
lose_weight,Male,34,167.3,62.3,22.3,vegetarian,sedentary,dumbbells,3,indian,1
improve_stamina,Male,52,168.9,56.9,19.9,vegan,light,no_equipment,5,indian,7
stay_active,Female,32,156.5,40.0,16.3,eggetarian,sedentary,dumbbells,3,indian,8
improve_stamina,Female,29,162.3,64.7,24.6,vegan,sedentary,no_equipment,4,indian,0
stay_active,Male,33,173.3,79.9,26.6,eggetarian,active,no_equipment,4,indian,0
build_muscle,Male,29,172.5,89.9,30.2,eggetarian,sedentary,dumbbells,5,indian,1
lose_weight,Female,26,158.3,67.1,26.8,vegetarian,light,no_equipment,4,indian,8
lose_weight,Female,38,174.4,67.1,22.1,standard,active,full_gym,3,indian,0
stay_active,Male,35,171.4,73.6,25.1,standard,moderate,full_gym,4,indian,0
lose_weight,Other,56,163.8,82.1,30.6,eggetarian,moderate,full_gym,4,indian,6
build_muscle,Other,34,164.6,59.2,21.9,standard,moderate,dumbbells,5,indian,1
stay_active,Other,24,160.7,67.2,26.0,eggetarian,active,dumbbells,4,western,0
lose_weight,Female,64,157.7,50.7,20.4,standard,active,full_gym,5,indian,0
build_muscle,Female,43,168.7,54.1,19.0,vegetarian,moderate,full_gym,3,indian,2
build_muscle,Female,33,158.8,66.6,26.4,eggetarian,moderate,dumbbells,4,indian,1
lose_weight,Female,21,163.0,62.3,23.4,vegetarian,moderate,no_equipment,3,indian,8
stay_active,Female,40,171.9,60.1,20.3,vegetarian,active,dumbbells,5,indian,7
build_muscle,Female,35,162.6,41.7,15.8,vegetarian,moderate,full_gym,5,western,2
lose_weight,Male,63,177.4,79.1,25.1,vegetarian,sedentary,dumbbells,3,indian,1
lose_weight,Female,30,168.5,58.0,20.4,jain,light,no_equipment,3,western,8
stay_active,Male,55,170.6,72.3,24.8,standard,active,no_equipment,4,western,7
stay_active,Other,30,164.1,70.6,26.2,vegetarian,light,dumbbells,3,indian,5
improve_stamina,Male,40,192.7,90.1,24.3,vegetarian,moderate,dumbbells,3,indian,7
build_muscle,Male,18,159.2,78.8,31.1,standard,very_active,full_gym,3,indian,3
improve_stamina,Female,20,152.0,49.8,21.6,eggetarian,moderate,dumbbells,6,global,0
build_muscle,Other,21,172.3,54.0,18.2,standard,sedentary,full_gym,5,indian,2
lose_weight,Female,37,158.8,72.6,28.8,vegetarian,moderate,dumbbells,3,global,8
build_muscle,Male,25,194.1,97.3,25.8,vegan,moderate,dumbbells,5,indian,1
improve_stamina,Female,55,160.7,55.2,21.4,standard,moderate,full_gym,3,indian,7
stay_active,Female,54,171.6,40.0,13.6,vegan,light,no_equipment,4,global,7
build_muscle,Female,61,162.5,68.8,26.1,vegan,active,dumbbells,3,global,1
lose_weight,Male,30,185.7,87.3,25.3,eggetarian,light,no_equipment,4,western,0
lose_weight,Other,50,168.9,56.0,19.6,jain,moderate,full_gym,3,indian,0
build_muscle,Female,26,151.7,81.2,35.3,standard,sedentary,dumbbells,4,indian,1
build_muscle,Male,27,166.1,68.0,24.6,vegetarian,moderate,full_gym,4,indian,2
build_muscle,Female,31,157.0,77.4,31.4,vegan,light,dumbbells,3,indian,1
build_muscle,Male,37,178.8,80.8,25.3,eggetarian,moderate,dumbbells,5,western,1
build_muscle,Female,25,168.9,56.9,19.9,vegetarian,moderate,full_gym,3,indian,2
lose_weight,Male,42,167.2,96.4,34.5,vegetarian,light,dumbbells,4,western,6
build_muscle,Female,38,157.5,63.9,25.8,vegetarian,moderate,full_gym,4,indian,2
lose_weight,Female,58,158.6,79.5,31.6,jain,sedentary,no_equipment,4,indian,6
lose_weight,Male,31,173.1,70.4,23.5,standard,active,full_gym,4,indian,0
stay_active,Male,19,176.4,48.8,15.7,vegetarian,light,no_equipment,5,indian,5
improve_stamina,Female,34,163.9,60.7,22.6,vegetarian,moderate,no_equipment,6,indian,0
build_muscle,Male,32,174.1,56.8,18.7,standard,sedentary,full_gym,5,western,2
lose_weight,Male,46,162.6,71.0,26.9,standard,sedentary,full_gym,3,indian,0
stay_active,Male,28,164.9,75.2,27.7,standard,moderate,full_gym,5,western,0
improve_stamina,Female,30,172.0,58.2,19.7,standard,light,full_gym,4,indian,0
lose_weight,Male,38,174.0,72.5,23.9,standard,sedentary,dumbbells,4,indian,1
improve_stamina,Female,44,155.3,44.2,18.3,standard,active,dumbbells,5,western,7
lose_weight,Female,53,161.8,65.3,24.9,standard,active,full_gym,3,indian,0
build_muscle,Female,26,172.8,58.0,19.4,standard,light,no_equipment,3,indian,0
improve_stamina,Female,25,160.8,61.8,23.9,eggetarian,moderate,full_gym,3,western,0
lose_weight,Male,51,174.6,70.5,23.1,eggetarian,light,full_gym,4,indian,0
build_muscle,Female,60,169.6,62.8,21.8,vegetarian,active,dumbbells,4,indian,1
lose_weight,Male,40,179.0,94.9,29.6,vegetarian,light,dumbbells,5,western,6
lose_weight,Male,56,187.4,69.3,19.7,vegetarian,light,dumbbells,3,indian,1
lose_weight,Male,26,176.4,63.3,20.3,vegetarian,sedentary,full_gym,6,indian,0
lose_weight,Female,17,161.3,66.4,25.5,standard,sedentary,dumbbells,5,indian,8
stay_active,Male,21,170.9,68.5,23.5,standard,moderate,dumbbells,3,indian,0
lose_weight,Male,31,172.1,108.1,36.5,vegetarian,moderate,no_equipment,4,indian,6
build_muscle,Male,36,172.9,62.0,20.7,standard,active,full_gym,6,indian,3
lose_weight,Male,51,179.7,76.3,23.6,vegetarian,moderate,no_equipment,4,indian,0
improve_stamina,Male,27,170.1,102.5,35.4,standard,light,full_gym,6,indian,0
stay_active,Female,21,166.5,51.7,18.6,eggetarian,active,dumbbells,5,global,8
improve_stamina,Female,46,166.5,63.1,22.8,standard,moderate,full_gym,3,indian,7
build_muscle,Male,29,184.2,40.0,11.8,vegetarian,light,no_equipment,3,indian,0
improve_stamina,Female,48,155.2,69.7,28.9,vegan,light,no_equipment,4,indian,7
lose_weight,Male,24,174.6,93.6,30.7,vegetarian,moderate,dumbbells,3,indian,6
lose_weight,Other,19,159.3,55.3,21.8,standard,active,full_gym,3,indian,0
build_muscle,Female,34,151.7,54.9,23.9,vegetarian,active,full_gym,3,indian,3
improve_stamina,Female,35,178.8,76.8,24.0,standard,light,dumbbells,5,global,0
stay_active,Other,61,164.3,53.6,19.9,eggetarian,light,dumbbells,6,indian,7
build_muscle,Male,32,183.4,45.7,13.6,standard,very_active,dumbbells,4,global,1
stay_active,Male,24,169.1,83.0,29.0,standard,sedentary,dumbbells,3,western,5
stay_active,Female,59,156.8,63.8,25.9,vegetarian,moderate,full_gym,4,indian,7
lose_weight,Female,28,164.0,45.1,16.8,standard,sedentary,dumbbells,4,western,8
build_muscle,Male,33,187.9,57.0,16.1,eggetarian,very_active,full_gym,6,indian,4
stay_active,Female,44,165.6,61.6,22.5,eggetarian,light,full_gym,5,western,7
build_muscle,Male,48,172.7,75.4,25.3,standard,very_active,dumbbells,3,indian,1
improve_stamina,Female,19,165.7,59.8,21.8,standard,very_active,full_gym,3,indian,0
stay_active,Male,52,178.0,92.8,29.3,vegan,sedentary,full_gym,3,indian,7
lose_weight,Female,23,160.9,62.8,24.3,eggetarian,moderate,full_gym,4,western,0
stay_active,Male,27,167.5,71.2,25.4,standard,light,no_equipment,5,western,5
lose_weight,Male,36,178.7,53.7,16.8,vegetarian,moderate,full_gym,4,western,0
improve_stamina,Female,59,149.6,47.9,21.4,standard,sedentary,no_equipment,5,indian,7
build_muscle,Female,32,164.2,45.2,16.8,vegetarian,sedentary,full_gym,5,western,2
lose_weight,Female,25,158.7,65.9,26.2,eggetarian,very_active,full_gym,3,indian,0
lose_weight,Male,56,176.3,67.7,21.8,jain,very_active,dumbbells,4,western,1
stay_active,Female,42,153.7,62.1,26.3,standard,very_active,no_equipment,5,indian,7
improve_stamina,Male,28,176.9,94.4,30.2,standard,moderate,full_gym,3,indian,0
lose_weight,Male,29,183.4,56.3,16.7,vegan,very_active,dumbbells,4,indian,1
build_muscle,Female,27,162.6,58.6,22.2,vegan,moderate,no_equipment,5,indian,0
build_muscle,Female,17,160.5,58.9,22.9,vegetarian,moderate,dumbbells,4,indian,1
improve_stamina,Male,29,161.8,77.4,29.6,vegetarian,light,dumbbells,5,indian,0
build_muscle,Female,35,163.9,53.3,19.8,standard,active,dumbbells,5,indian,1
build_muscle,Female,52,156.4,59.9,24.5,standard,active,dumbbells,6,indian,1
stay_active,Female,25,171.4,66.3,22.6,jain,active,no_equipment,4,western,8
build_muscle,Male,24,156.7,89.2,36.3,jain,moderate,no_equipment,3,global,0
build_muscle,Other,42,173.0,62.9,21.0,eggetarian,active,dumbbells,4,indian,1
build_muscle,Male,47,176.5,79.6,25.6,standard,sedentary,dumbbells,4,indian,1
build_muscle,Male,64,182.0,66.5,20.1,standard,active,full_gym,4,indian,0
lose_weight,Male,40,177.6,68.3,21.7,vegetarian,moderate,dumbbells,4,indian,1
build_muscle,Male,44,180.5,88.5,27.2,standard,sedentary,full_gym,4,indian,2
improve_stamina,Male,18,182.9,64.3,19.2,eggetarian,very_active,full_gym,4,indian,0
build_muscle,Female,25,154.8,49.5,20.7,standard,light,dumbbells,5,indian,1
build_muscle,Female,25,162.9,44.8,16.9,vegetarian,active,full_gym,6,indian,3
lose_weight,Male,35,171.3,63.4,21.6,standard,sedentary,no_equipment,5,indian,0
lose_weight,Female,41,158.6,51.0,20.3,eggetarian,active,no_equipment,4,global,8
stay_active,Female,49,155.1,50.5,21.0,vegetarian,moderate,dumbbells,4,western,7
build_muscle,Male,29,170.9,82.5,28.2,vegan,very_active,dumbbells,4,western,1
build_muscle,Female,44,147.1,53.5,24.7,eggetarian,active,no_equipment,4,indian,0
build_muscle,Other,41,164.7,64.1,23.6,standard,active,full_gym,4,indian,0
lose_weight,Female,27,164.4,63.2,23.4,standard,sedentary,no_equipment,5,indian,8
lose_weight,Female,26,162.5,57.5,21.8,standard,light,no_equipment,4,indian,8
build_muscle,Female,50,157.5,58.5,23.6,standard,moderate,full_gym,3,western,2
improve_stamina,Female,50,166.2,40.0,14.5,standard,active,no_equipment,3,western,7
lose_weight,Female,48,163.1,55.8,21.0,vegetarian,moderate,no_equipment,3,indian,8
lose_weight,Female,43,160.5,84.1,32.6,standard,moderate,no_equipment,3,indian,6
lose_weight,Male,18,183.8,102.8,30.4,eggetarian,sedentary,full_gym,3,global,6
build_muscle,Male,46,184.7,61.1,17.9,standard,active,no_equipment,6,indian,0
stay_active,Male,43,163.4,65.0,24.3,jain,very_active,dumbbells,4,indian,7
build_muscle,Male,45,167.3,45.9,16.4,vegan,very_active,full_gym,4,western,0
lose_weight,Female,18,170.0,56.1,19.4,standard,very_active,full_gym,5,indian,0
build_muscle,Male,16,171.4,63.5,21.6,standard,sedentary,no_equipment,4,indian,0
lose_weight,Female,26,155.6,55.3,22.8,eggetarian,very_active,dumbbells,6,indian,8
lose_weight,Male,64,176.4,62.9,20.2,standard,moderate,dumbbells,3,indian,1
lose_weight,Male,61,172.4,91.7,30.9,jain,light,no_equipment,4,global,6
build_muscle,Male,21,159.7,71.3,28.0,vegetarian,moderate,no_equipment,3,western,0
build_muscle,Female,26,171.7,66.4,22.5,vegetarian,active,full_gym,3,indian,3
lose_weight,Male,54,176.8,91.3,29.2,standard,light,dumbbells,3,indian,6
stay_active,Female,28,153.6,56.5,23.9,vegetarian,very_active,dumbbells,6,global,8
lose_weight,Female,59,153.4,42.2,17.9,vegetarian,active,full_gym,3,indian,0
improve_stamina,Male,41,167.9,58.3,20.7,vegetarian,sedentary,dumbbells,3,global,7
stay_active,Female,26,155.5,59.3,24.5,eggetarian,active,dumbbells,4,indian,8
lose_weight,Female,35,167.2,57.0,20.4,standard,sedentary,no_equipment,3,indian,8
build_muscle,Male,24,167.8,81.1,28.8,standard,moderate,full_gym,3,indian,2
build_muscle,Female,37,156.1,41.1,16.9,eggetarian,sedentary,no_equipment,4,indian,0
improve_stamina,Male,25,171.4,68.3,23.2,standard,light,no_equipment,6,western,0
lose_weight,Female,20,158.8,70.7,28.0,vegetarian,active,full_gym,5,global,6
lose_weight,Male,31,174.1,71.9,23.7,standard,sedentary,dumbbells,5,indian,1
lose_weight,Male,17,165.2,65.9,24.1,eggetarian,moderate,no_equipment,4,indian,0
build_muscle,Male,35,180.1,56.4,17.4,vegan,very_active,no_equipment,4,indian,0
build_muscle,Male,50,173.2,94.6,31.5,standard,moderate,full_gym,4,indian,2
build_muscle,Female,29,155.2,90.7,37.7,vegan,active,no_equipment,6,indian,0
lose_weight,Female,53,169.8,56.6,19.6,standard,moderate,full_gym,5,indian,0
build_muscle,Female,29,162.5,76.4,28.9,standard,very_active,dumbbells,6,indian,1
lose_weight,Female,43,163.8,60.7,22.6,standard,moderate,no_equipment,6,indian,8
lose_weight,Male,18,155.3,78.0,32.3,standard,light,full_gym,3,indian,6
lose_weight,Other,48,185.4,63.8,18.6,vegetarian,active,dumbbells,5,western,1
improve_stamina,Male,55,162.4,69.2,26.2,vegetarian,active,dumbbells,4,western,7
improve_stamina,Female,30,170.5,43.0,14.8,standard,moderate,full_gym,5,indian,0
build_muscle,Female,46,164.3,64.8,24.0,eggetarian,moderate,no_equipment,4,indian,0
lose_weight,Male,27,175.1,67.5,22.0,standard,sedentary,no_equipment,3,indian,0
lose_weight,Other,55,167.0,66.6,23.9,standard,active,no_equipment,4,indian,0
build_muscle,Male,64,179.2,78.9,24.6,eggetarian,moderate,full_gym,3,indian,2
build_muscle,Female,30,145.0,56.5,26.9,eggetarian,moderate,no_equipment,4,indian,0
lose_weight,Female,29,171.0,56.5,19.3,standard,light,no_equipment,4,global,8
lose_weight,Female,55,159.7,63.6,24.9,standard,active,full_gym,3,indian,0
improve_stamina,Female,34,159.1,67.6,26.7,vegetarian,active,full_gym,6,indian,0
improve_stamina,Male,33,189.5,58.8,16.4,standard,moderate,no_equipment,5,global,0
build_muscle,Male,20,179.5,85.9,26.7,eggetarian,very_active,dumbbells,4,indian,1
lose_weight,Female,32,158.2,56.0,22.4,standard,moderate,dumbbells,4,indian,8
build_muscle,Male,52,176.5,71.8,23.0,vegetarian,sedentary,full_gym,5,global,2
build_muscle,Other,27,155.1,91.3,38.0,standard,active,full_gym,4,indian,3
build_muscle,Male,42,178.7,68.2,21.4,vegetarian,moderate,no_equipment,6,indian,0
build_muscle,Other,35,165.8,66.4,24.2,vegan,active,full_gym,3,global,3
build_muscle,Other,19,166.6,68.8,24.8,standard,very_active,no_equipment,4,indian,0
improve_stamina,Male,40,177.2,62.5,19.9,jain,active,dumbbells,4,indian,7
stay_active,Male,60,166.2,85.7,31.0,vegetarian,sedentary,full_gym,4,western,7
build_muscle,Female,38,154.3,51.0,21.4,vegetarian,light,full_gym,5,indian,2
lose_weight,Male,31,172.3,67.5,22.7,eggetarian,active,no_equipment,3,western,0
lose_weight,Male,48,175.4,82.2,26.7,jain,very_active,dumbbells,5,indian,1
stay_active,Male,44,175.5,81.0,26.3,standard,light,dumbbells,3,indian,7
lose_weight,Male,48,172.7,91.2,30.6,vegetarian,very_active,dumbbells,3,indian,6
lose_weight,Male,25,177.2,77.0,24.5,standard,light,full_gym,4,western,0
build_muscle,Male,39,161.4,56.3,21.6,vegetarian,light,no_equipment,4,indian,0
build_muscle,Female,58,161.1,42.6,16.4,vegan,light,dumbbells,5,global,1
lose_weight,Other,47,166.3,68.5,24.8,standard,active,full_gym,3,indian,0
lose_weight,Female,59,162.6,58.8,22.2,standard,moderate,dumbbells,3,western,8
build_muscle,Female,45,163.1,40.0,15.0,standard,moderate,no_equipment,3,western,0
lose_weight,Male,61,177.0,72.2,23.0,vegetarian,light,full_gym,4,indian,0
build_muscle,Female,30,160.7,56.0,21.7,standard,moderate,no_equipment,4,western,0
build_muscle,Male,31,173.5,55.0,18.3,eggetarian,sedentary,dumbbells,4,indian,1
lose_weight,Female,25,161.7,55.1,21.1,standard,light,dumbbells,4,indian,8
lose_weight,Male,33,177.6,71.5,22.7,eggetarian,moderate,full_gym,4,indian,0
build_muscle,Female,56,156.0,51.1,21.0,eggetarian,light,full_gym,5,western,2
stay_active,Female,31,161.7,62.3,23.8,standard,moderate,no_equipment,3,western,8
build_muscle,Female,42,165.6,41.2,15.0,vegetarian,light,full_gym,5,indian,2
build_muscle,Male,41,182.7,86.6,25.9,standard,light,no_equipment,3,western,0
improve_stamina,Male,60,176.1,75.4,24.3,vegetarian,active,no_equipment,3,western,7
lose_weight,Male,64,183.2,83.1,24.8,vegetarian,sedentary,full_gym,3,western,0
stay_active,Male,19,163.7,71.0,26.5,standard,light,dumbbells,3,indian,5
build_muscle,Female,24,159.3,51.5,20.3,vegetarian,light,full_gym,3,indian,2
improve_stamina,Male,40,174.1,79.4,26.2,standard,sedentary,no_equipment,4,indian,7
lose_weight,Male,32,167.5,67.1,23.9,eggetarian,light,full_gym,4,indian,0
lose_weight,Male,30,160.1,87.1,34.0,standard,active,dumbbells,4,indian,6
stay_active,Female,35,166.6,57.6,20.8,standard,light,full_gym,5,indian,5
lose_weight,Female,39,174.0,51.1,16.9,eggetarian,active,dumbbells,4,indian,8
